Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1760583829,20,,Aggregated,8.333333,0.000000,760,1000,1300,1300,1500,1500,1600,1600,1600,1600,1600,48,0,680.0,858.2982812497448,282.6859999986482,1585.5042000002868,822.5833333333334
1760583830,20,POST,/auth/login,3.750000,0.000000,900,1100,1300,1300,1400,1500,1500,1500,1500,1500,1500,20,0,680.0,839.3810649997249,282.6859999986482,1472.3833999996714,1312.0
1760583830,20,GET,/docs/905ddca7-63d9-4f79-850b-04ea2a80a17e,0.250000,0.000000,760,760,760,760,760,760,760,760,760,760,760,2,0,434.585099999822,596.8859500007966,434.585099999822,759.1868000017712,639.0
1760583830,20,GET,/docs/c04d7e21-b10c-47ce-9bdb-2109ba7a77b1,0.250000,0.000000,440,440,440,440,440,440,440,440,440,440,440,1,0,435.2251999989676,435.2251999989676,435.2251999989676,435.2251999989676,279.0
1760583830,20,GET,/search?q=incidente,1.000000,0.000000,940,1000,1000,1100,1300,1300,1400,1400,1400,1400,1400,24,0,920.0,811.1456291665794,191.10129999899073,1376.9720999989659,436.0
1760583830,20,GET,/search?q=runbook,2.500000,0.000000,1000,1000,1500,1500,1600,1600,1600,1600,1600,1600,1600,20,0,610.0,879.1209150000213,329.5866999978898,1585.5042000002868,502.0
1760583830,20,,Aggregated,7.750000,0.000000,900,1000,1000,1200,1400,1500,1600,1600,1600,1600,1600,67,0,900.0,827.8586835819909,191.10129999899073,1585.5042000002868,720.9104477611941
1760583831,20,POST,/auth/login,3.000000,0.000000,900,1100,1300,1300,1400,1500,1500,1500,1500,1500,1500,20,0,680.0,839.3810649997249,282.6859999986482,1472.3833999996714,1312.0
1760583831,20,GET,/docs/905ddca7-63d9-4f79-850b-04ea2a80a17e,0.200000,0.000000,760,760,760,760,760,760,760,760,760,760,760,2,0,434.585099999822,596.8859500007966,434.585099999822,759.1868000017712,639.0
1760583831,20,GET,/docs/c04d7e21-b10c-47ce-9bdb-2109ba7a77b1,0.200000,0.000000,21,21,440,440,440,440,440,440,440,440,440,3,0,21,157.71209999972294,17.16400000077556,435.2251999989676,279.0
1760583831,20,GET,/search?q=incidente,1.600000,0.000000,930,1000,1000,1100,1300,1300,1400,1400,1400,1400,1400,25,0,920.0,782.4734319999698,94.34070000133943,1376.9720999989659,436.0
1760583831,20,GET,/search?q=runbook,2.000000,0.000000,1000,1000,1500,1500,1600,1600,1600,1600,1600,1600,1600,20,0,610.0,879.1209150000213,329.5866999978898,1585.5042000002868,502.0
1760583831,20,,Aggregated,7.000000,0.000000,890,1000,1000,1200,1400,1500,1600,1600,1600,1600,1600,70,0,760.0,794.2683371427847,17.16400000077556,1585.5042000002868,704.2142857142857
1760583832,20,POST,/auth/login,3.333333,0.000000,900,1100,1300,1300,1400,1500,1500,1500,1500,1500,1500,20,0,680.0,839.3810649997249,282.6859999986482,1472.3833999996714,1312.0
1760583832,20,GET,/docs/905ddca7-63d9-4f79-850b-04ea2a80a17e,0.166667,0.000000,430,430,760,760,760,760,760,760,760,760,760,4,0,19,307.93070000072476,18.696099999942817,759.1868000017712,639.0
1760583832,20,GET,/docs/c04d7e21-b10c-47ce-9bdb-2109ba7a77b1,0.166667,0.000000,21,21,440,440,440,440,440,440,440,440,440,4,0,17,122.19379999987723,15.638900000340072,435.2251999989676,279.0
1760583832,20,GET,/search?q=incidente,2.000000,0.000000,930,1000,1000,1100,1300,1300,1400,1400,1400,1400,1400,25,0,920.0,782.4734319999698,94.34070000133943,1376.9720999989659,436.0
1760583832,20,GET,/search?q=runbook,2.500000,0.000000,1000,1000,1500,1500,1600,1600,1600,1600,1600,1600,1600,20,0,610.0,879.1209150000213,329.5866999978898,1585.5042000002868,502.0
1760583832,20,,Aggregated,8.166667,0.000000,680,940,1000,1100,1400,1500,1600,1600,1600,1600,1600,73,0,680.0,762.3612794520079,15.638900000340072,1585.5042000002868,696.6027397260274
1760583833,20,POST,/auth/login,2.857143,0.000000,900,1100,1300,1300,1400,1500,1500,1500,1500,1500,1500,20,0,680.0,839.3810649997249,282.6859999986482,1472.3833999996714,1312.0
1760583833,20,GET,/docs/905ddca7-63d9-4f79-850b-04ea2a80a17e,0.285714,0.000000,650,650,760,760,1200,1200,1200,1200,1200,1200,1200,6,0,430.0,510.1665666667638,18.696099999942817,1179.2997999982617,639.0
1760583833,20,GET,/docs/c04d7e21-b10c-47ce-9bdb-2109ba7a77b1,0.285714,0.000000,21,21,440,440,440,440,440,440,440,440,440,4,0,17,122.19379999987723,15.638900000340072,435.2251999989676,279.0
1760583833,20,GET,/search?q=incidente,3.571429,0.000000,930,1000,1100,1100,1300,1300,1400,1400,1400,1400,1400,30,0,920.0,740.0560499999605,94.34070000133943,1376.9720999989659,367.3333333333333
1760583833,20,GET,/search?q=runbook,2.857143,0.000000,1000,1000,1500,1500,1600,1600,1600,1600,1600,1600,1600,20,0,610.0,879.1209150000213,329.5866999978898,1585.5042000002868,502.0
1760583833,20,,Aggregated,9.857143,0.000000,680,940,1000,1200,1400,1500,1600,1600,1600,1600,1600,80,0,670.0,751.5186962499229,15.638900000340072,1585.5042000002868,653.125
1760583834,20,POST,/auth/login,2.500000,0.000000,900,1100,1300,1300,1400,1500,1500,1500,1500,1500,1500,20,0,680.0,839.3810649997249,282.6859999986482,1472.3833999996714,1312.0
1760583834,20,GET,/docs/905ddca7-63d9-4f79-850b-04ea2a80a17e,0.250000,0.000000,430,650,760,760,1200,1200,1200,1200,1200,1200,1200,8,0,52,395.5430500004695,18.696099999942817,1179.2997999982617,639.0
1760583834,20,GET,/docs/c04d7e21-b10c-47ce-9bdb-2109ba7a77b1,0.500000,0.000000,17,21,21,440,440,440,440,440,440,440,440,5,0,17,100.48367999988841,13.643199999933131,435.2251999989676,279.0
1760583834,20,GET,/search?q=incidente,3.125000,0.000000,920,940,1000,1100,1200,1300,1400,1400,1400,1400,1400,36,0,440.0,631.236697222246,46.104400000331225,1376.9720999989659,310.1111111111111
1760583834,20,GET,/search?q=runbook,2.500000,0.000000,1000,1000,1500,1500,1600,1600,1600,1600,1600,1600,1600,20,0,610.0,879.1209150000213,329.5866999978898,1585.5042000002868,502.0
1760583834,20,,Aggregated,8.875000,0.000000,660,930,1000,1100,1300,1500,1600,1600,1600,1600,1600,89,0,660.0,682.7114999999885,13.643199999933131,1585.5042000002868,606.1910112359551
1760583835,20,POST,/auth/login,2.222222,0.000000,900,1100,1300,1300,1400,1500,1500,1500,1500,1500,1500,20,0,680.0,839.3810649997249,282.6859999986482,1472.3833999996714,1312.0
1760583835,20,GET,/docs/905ddca7-63d9-4f79-850b-04ea2a80a17e,0.444444,0.000000,52,430,650,760,1200,1200,1200,1200,1200,1200,1200,9,0,52,353.38903333387054,16.15690000107861,1179.2997999982617,639.0
1760583835,20,GET,/docs/c04d7e21-b10c-47ce-9bdb-2109ba7a77b1,0.444444,0.000000,17,17,21,21,440,440,440,440,440,440,440,6,0,17,86.51001666657976,13.643199999933131,435.2251999989676,279.0
1760583835,20,GET,/search?q=incidente,2.777778,0.000000,670,940,1000,1000,1200,1300,1400,1400,1400,1400,1400,38,0,440.0,600.1577631579589,29.91660000043339,1376.9720999989659,295.05263157894734
1760583835,20,GET,/search?q=runbook,2.222222,0.000000,1000,1000,1500,1500,1600,1600,1600,1600,1600,1600,1600,20,0,610.0,879.1209150000213,329.5866999978898,1585.5042000002868,502.0
1760583835,20,,Aggregated,8.111111,0.000000,670,940,1000,1100,1300,1500,1600,1600,1600,1600,1600,93,0,610.0,654.5763010752869,13.643199999933131,1585.5042000002868,590.505376344086
1760583836,20,POST,/auth/login,2.000000,0.000000,1300,1300,1300,1400,1500,1500,1500,1500,1500,1500,1500,20,0,680.0,839.3810649997249,282.6859999986482,1472.3833999996714,1312.0
1760583836,20,GET,/docs/905ddca7-63d9-4f79-850b-04ea2a80a17e,0.600000,0.000000,52,430,650,760,1200,1200,1200,1200,1200,1200,1200,9,0,52,353.38903333387054,16.15690000107861,1179.2997999982617,639.0
1760583836,20,GET,/docs/c04d7e21-b10c-47ce-9bdb-2109ba7a77b1,0.400000,0.000000,17,21,38,38,440,440,440,440,440,440,440,8,0,17,71.56774999975823,13.643199999933131,435.2251999989676,279.0
1760583836,20,GET,/search?q=incidente,3.100000,0.000000,330,920,1000,1000,1200,1300,1400,1400,1400,1400,1400,46,0,350.0,504.03084130464225,29.91660000043339,1376.9720999989659,247.91304347826087
1760583836,20,GET,/search?q=runbook,2.000000,0.000000,1000,1000,1500,1500,1600,1600,1600,1600,1600,1600,1600,20,0,610.0,879.1209150000213,329.5866999978898,1585.5042000002868,502.0
1760583836,20,,Aggregated,8.100000,0.000000,650,1000,1000,1200,1400,1500,1600,1600,1600,1600,1600,103,0,530.0,595.2281708738968,13.643199999933131,1585.5042000002868,540.4563106796116
1760583837,20,POST,/auth/login,2.000000,0.000000,1300,1300,1300,1400,1500,1500,1500,1500,1500,1500,1500,20,0,680.0,839.3810649997249,282.6859999986482,1472.3833999996714,1312.0
1760583837,20,GET,/docs/905ddca7-63d9-4f79-850b-04ea2a80a17e,0.800000,0.000000,51,52,650,650,760,1200,1200,1200,1200,1200,1200,12,0,23,269.3199583339568,13.810000000376021,1179.2997999982617,639.0
1760583837,20,GET,/docs/c04d7e21-b10c-47ce-9bdb-2109ba7a77b1,0.500000,0.000000,17,21,38,38,440,440,440,440,440,440,440,8,0,17,71.56774999975823,13.643199999933131,435.2251999989676,279.0
1760583837,20,GET,/search?q=incidente,3.800000,0.000000,140,920,940,1000,1200,1300,1400,1400,1400,1400,1400,50,0,190.0,467.67227600037586,29.91660000043339,1376.9720999989659,230.0
